condition_snomed_id,speciality_id,weight
95315005,40,medium
254845004,40,medium
87522002,40,low
14094001,40,very_high
735476006,40,very_high
33839006,40,medium
860914002,40,low
15938005,40,very_high
44991000119100,40,high
129103003,40,very_high
34801009,40,very_high
95605009,40,very_high
237662005,40,very_high
266579006,40,very_high
11687002,40,very_high
43548008,40,very_high
65619001,40,very_high
36813001,40,very_high
398254007,40,very_high
13842006,40,very_high
146799005,40,very_high
47382004,40,low
82639001,40,very_high
237684005,40,very_high
58703003,40,high
79883001,40,very_high
36209000,40,medium
77386006,40,very_high
2858002,40,very_high
198130006,40,medium
19133005,41,medium
203082005,41,low
90935002,41,medium
61582004,42,high
19362000,42,rare
897657000,42,high
115665000,42,very_high
128105004,43,very_high
418470004,43,very_high
417357006,43,very_high
40108008,43,very_high
87522002,43,medium
53165003,43,high
124134002,43,very_high
90935002,43,very_high
58381000,43,very_high
2897005,43,very_high
271737000,43,very_high
840539006,44,very_high
54150009,44,very_high
72934000,44,low
68566005,44,very_high
34014006,44,very_high
38907003,44,high
88518009,44,high
190634004,44,very_high
3738000,44,high
21007002,44,very_high
27601005,44,medium
4740000,44,high
72000004,44,medium
34713006,44,very_high
368009,44,very_high
128105004,44,high
126485001,44,medium
43891009,44,high
46659004,44,very_high
3238004,44,high
36971009,44,high
24700007,44,very_high
79740000,44,very_high
418186002,44,very_high
47382004,44,medium
414941008,44,very_high
418470004,44,high
59282003,44,high
52254009,44,very_high
721764008,44,high
128210009,44,high
71760005,44,high
302835009,44,high
26039008,44,very_high
65363002,44,low
64859006,44,very_high
237055002,44,low
28651003,44,very_high
721188000,44,high
449826002,44,medium
417357006,44,high
90176007,44,high
21454007,44,high
30292005,44,high
78275009,44,medium
69896004,44,medium
36989005,44,very_high
1119303003,44,very_high
95453001,44,high
55464009,44,high
73297009,44,very_high
21954000,44,very_high
89155008,44,medium
123471000119103,44,high
66264000,44,high
399068003,44,high
230297002,44,high
40108008,44,high
53316003,44,medium
4834000,44,very_high
400047006,44,medium
64766004,44,high
237602007,44,very_high
37372002,44,high
414033006,44,medium
30664006,44,high
37340000,44,high
49049000,44,high
202855006,44,low
237684005,44,high
128869009,44,medium
202882003,44,high
405737000,44,high
233604007,44,very_high
192976002,44,high
7180009,44,high
53165003,44,very_high
19886006,44,high
402134005,44,medium
14304000,44,very_high
32914008,44,high
84849002,44,high
76627001,44,very_high
840580004,44,high
19133005,44,medium
91637004,44,high
359837005,44,medium
154283005,44,very_high
9014002,44,medium
31681005,44,high
61530001,44,high
230456007,44,high
